period,oversold,overbought,aggression_factor,low_buy,high_sell,buy_amount,pnl,runtime
40,34,74,0.7000000000000002,5,90,5,0.0,9.626642942428589
25,30,72,0.30000000000000004,10,90,15,0.0,9.639283895492554
30,30,70,0.6000000000000001,15,85,10,0.0,10.11083984375
20,20,72,0.7000000000000002,15,75,10,0.0,10.033069849014282
35,34,76,0.30000000000000004,20,80,5,0.0,9.997021913528442
50,20,74,0.7000000000000002,10,90,5,0.0,10.015886068344116
15,32,78,0.2,5,90,15,-962.0,10.084473133087158
50,22,70,0.5000000000000001,10,75,15,0.0,9.990756750106812
10,32,76,0.5000000000000001,5,80,5,-6164.0,10.27315092086792
10,32,60,0.5000000000000001,5,80,10,-1746.0,10.237082719802856
10,22,76,0.7000000000000002,20,80,15,-6200.0,10.207704782485962
10,32,60,0.5000000000000001,15,85,5,-934.0,10.206851959228516
25,32,78,0.4000000000000001,10,80,5,0.0,10.297937870025635
40,32,74,0.7000000000000002,5,85,10,0.0,10.22594428062439
50,22,74,0.4000000000000001,5,75,5,0.0,10.366461038589478
40,36,70,0.2,20,75,5,0.0,10.592188835144043
10,24,70,0.4000000000000001,5,85,5,-6694.0,10.34935998916626
10,26,66,0.30000000000000004,10,90,10,-1203.0,10.401849746704102
50,38,78,0.4000000000000001,20,85,10,0.0,10.434900999069214
35,34,74,0.30000000000000004,10,80,5,0.0,10.415138959884644
10,38,72,0.2,10,90,10,-13450.0,11.347009181976318
25,38,76,0.30000000000000004,5,90,10,0.0,10.961137056350708
25,34,62,0.2,15,75,15,0.0,11.11788821220398
45,30,76,0.4000000000000001,10,90,10,0.0,11.194926023483276
50,20,74,0.30000000000000004,10,90,15,0.0,11.203027963638306
